frame= 490 | y=0.00 | obs0_x=-40.92
frame= 491 | y=0.00 | obs0_x=-41.00
frame= 492 | y=0.00 | obs0_x=-41.08
frame= 493 | y=0.00 | obs0_x=-41.17
frame= 494 | y=0.00 | obs0_x=-41.25
frame= 495 | y=1.20 | obs0_x=-41.33
frame= 496 | y=1.20 | obs0_x=-41.42
frame= 497 | y=1.20 | obs0_x=-41.50
frame= 498 | y=0.00 | obs0_x=-41.58
frame= 499 | y=0.00 | obs0_x=-41.67
frame= 500 | y=0.00 | obs0_x=-41.75
frame= 501 | y=0.00 | obs0_x=-41.83
frame= 502 | y=1.20 | obs0_x=-41.92
frame= 503 | y=1.20 | obs0_x=-42.00
frame= 504 | y=0.00 | obs0_x=-42.08
frame= 505 | y=1.20 | obs0_x=-42.17
frame= 506 | y=0.00 | obs0_x=-42.25
frame= 507 | y=1.20 | obs0_x=-42.33
frame= 508 | y=1.20 | obs0_x=-42.42
frame= 509 | y=0.00 | obs0_x=-42.50
frame= 510 | y=1.20 | obs0_x=-42.58
frame= 511 | y=0.00 | obs0_x=-42.67
frame= 512 | y=0.00 | obs0_x=-42.75
frame= 513 | y=0.00 | obs0_x=-42.83
frame= 514 | y=0.00 | obs0_x=-42.92
frame= 515 | y=1.20 | obs0_x=-43.00
frame= 516 | y=0.00 | obs0_x=-43.08
frame= 517 | y=0.00 | obs0_x=-43.17
frame= 518 | y=0.00 | obs0_x=-43.25
frame= 519 | y=1.20 | obs0_x=-43.33
frame= 520 | y=0.00 | obs0_x=-43.42
frame= 521 | y=0.00 | obs0_x=-43.50
frame= 522 | y=0.00 | obs0_x=-43.58
frame= 523 | y=1.20 | obs0_x=-43.67
frame= 524 | y=0.00 | obs0_x=-43.75
frame= 525 | y=0.00 | obs0_x=-43.83
frame= 526 | y=0.00 | obs0_x=-43.92
frame= 527 | y=0.00 | obs0_x=-44.00
frame= 528 | y=0.00 | obs0_x=-44.08
frame= 529 | y=0.00 | obs0_x=-44.17
frame= 530 | y=1.20 | obs0_x=-44.25
frame= 531 | y=1.20 | obs0_x=-44.33
frame= 532 | y=0.00 | obs0_x=-44.42
frame= 533 | y=0.00 | obs0_x=-44.50
frame= 534 | y=0.00 | obs0_x=-44.58
frame= 535 | y=0.00 | obs0_x=-44.67
frame= 536 | y=1.20 | obs0_x=-44.75
frame= 537 | y=1.20 | obs0_x=-44.83
frame= 538 | y=0.00 | obs0_x=-44.92
frame= 539 | y=1.20 | obs0_x=-45.00
frame= 540 | y=0.00 | obs0_x=-45.08
frame= 541 | y=1.20 | obs0_x=-45.17
frame= 542 | y=0.00 | obs0_x=-45.25
frame= 543 | y=0.00 | obs0_x=-45.33
frame= 544 | y=0.00 | obs0_x=-45.42
frame= 545 | y=0.00 | obs0_x=-45.50
frame= 546 | y=0.00 | obs0_x=-45.58
frame= 547 | y=0.00 | obs0_x=-45.67
frame= 548 | y=0.00 | obs0_x=-45.75
frame= 549 | y=0.00 | obs0_x=-45.83
frame= 550 | y=0.00 | obs0_x=-45.92
frame= 551 | y=0.00 | obs0_x=-46.00
frame= 552 | y=0.00 | obs0_x=-46.08
frame= 553 | y=0.00 | obs0_x=-46.17
frame= 554 | y=0.00 | obs0_x=-46.25
frame= 555 | y=0.00 | obs0_x=-46.33
frame= 556 | y=0.00 | obs0_x=-46.42
frame= 557 | y=0.00 | obs0_x=-46.50
frame= 558 | y=0.00 | obs0_x=-46.58
